50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,x,y,end_x,end_y
,,,,,,,,,,,,,,,,,,,,0.440226,,,,,,,,,,,,,,,55332f50-a243-4e16-b94c-6be09ad137b9,962,,"[30.0, 32.9]",3869685,31,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Antoine Griezmann,5487.0,Center Attacking Midfield,46,Argentina,779,"['608d9422-95c0-4691-a946-41c02d99180d', '63e992fa-8f8a-42e1-85c8-60a0687e3527']",14,,,,,,,,,,,,,,,,,France,771,00:31:14.330,Pressure,,30.0,32.9,,
,,,,,,,,,,,,,,True,,,,,,3.288827,,,,,,,,,,,,,,,4fbbfc66-9c16-430d-8238-6a733669eb9e,986,,"[19.7, 15.1]",3869685,32,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Dayotchanculle Upamecano,8519.0,Left Center Back,48,Argentina,779,['4152ef40-f0bc-4a52-92b4-f0f92e2a2d8c'],7,,,,,,,,,,,,,,,,,France,771,00:32:07.670,Pressure,,19.7,15.1,,
,,,,,,,,,,,,,,,,,,,,0.568761,,,,,,,,,,,,,,,6c34d8a1-e594-41ee-9fba-70c93ef6d5a1,991,,"[30.6, 45.7]",3869685,32,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Antoine Griezmann,5487.0,Center Attacking Midfield,48,Argentina,779,['bcadb881-4c0e-4396-9ea4-b9f7c2495ffd'],13,,,,,,,,,,,,,,,,,France,771,00:32:13.100,Pressure,,30.6,45.7,,
,,,,,,,,,,,,,,,,,,,,0.454979,,,,,,,,,,,,,,,d230a1b3-165e-4d72-85f9-728154e10fb3,995,,"[34.9, 33.1]",3869685,32,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Kylian Mbappé Lottin,3009.0,Left Wing,48,Argentina,779,['c137d51f-dae3-4ffb-b3db-f31306427368'],16,,,,,,,,,,,,,,,,,France,771,00:32:16.359,Pressure,,34.9,33.1,,
,,,,,,,,,,,,,,,,,,,,0.362487,,,,,,,,,,,,,,,0cbf9595-f0c9-4f23-a673-41790c12cc05,1001,,"[30.8, 31.8]",3869685,32,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Kylian Mbappé Lottin,3009.0,Left Wing,48,Argentina,779,['372dac4f-a3db-49eb-879b-2a3638cc679c'],18,,,,,,,,,,,,,,,,,France,771,00:32:18.553,Pressure,,30.8,31.8,,
,,,,,,,,,,,,,,,,,,,,0.336045,,,,,,,,,,,,,,,8f697079-0cce-449e-bebb-c0371028b02f,1015,,"[48.6, 24.1]",3869685,32,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Adrien Rabiot,3026.0,Left Defensive Midfield,48,Argentina,779,"['b8020bf8-11c2-4615-8b48-ae2ad9c506f6', 'ecacc53f-317a-4a45-b60b-4c2ba2ec9fe9']",31,,,,,,,,,,,,,,,,,France,771,00:32:31.959,Pressure,,48.6,24.1,,
,,,,,,,,,,,,,,,,,,,,0.325131,,,,,,,,,,,,,,,fc70982d-adb3-48e9-aba2-6a8c86e6efd4,1026,,"[39.6, 77.2]",3869685,32,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Jules Koundé,4445.0,Right Back,48,Argentina,779,,38,,,,,,,,,,,,,,,,,France,771,00:32:38.888,Pressure,,39.6,77.2,,
,,,,,,,,,,,,,,True,,,,,,0.455495,,,,,,,,,,,,,,,352e6304-564a-4076-91fa-086d75b9ff63,1038,,"[46.5, 69.7]",3869685,33,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Antoine Griezmann,5487.0,Center Attacking Midfield,50,Argentina,779,['3c6b88c3-a82b-4127-9bb7-ea546c3372aa'],2,,,,,,,,,,,,,,,,,France,771,00:33:02.492,Pressure,,46.5,69.7,,
,,,,,,,,,,,,,,True,,,,,,0.700518,,,,,,,,,,,,,,,6938a365-bf89-4be5-b256-4ab38936e344,1040,,"[43.2, 77.4]",3869685,33,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Jules Koundé,4445.0,Right Back,50,Argentina,779,"['2d28ac52-eae2-4056-8352-eebe74550cfe', 'c20bdbf1-c5d1-4b85-b421-2ff5dbcfbc14']",3,,,,,,,,,,,,,,,,,France,771,00:33:03.232,Pressure,,43.2,77.4,,
,,,,,,,,,,,,,,,,,,,,0.323768,,,,,,,,,,,,,,,27ad79fb-023e-405c-8d72-a8cc27a95917,1098,,"[62.5, 62.6]",3869685,34,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Antoine Griezmann,5487.0,Center Attacking Midfield,50,Argentina,779,['20833410-5775-452e-9804-f0fd4f045728'],1,,,,,,,,,,,,,,,,,France,771,00:34:01.274,Pressure,,62.5,62.6,,
